model,task,accuracy,stderr
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,tinyMMLU,0.6118177767,N/A
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio,0.3228593873,0.01310999677
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_conversation,0.3252160251,0.01313484019
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_english_filler,0.3244304792,0.01312660123
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.3220738413,0.0131016311
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3252160251,0.01313484019
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_poem,0.3522458629,0.01341431256
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3228593873,0.01310999677
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.3307148468,0.01319133914
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3008641005,0.01285945109
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3055773763,0.01291602788
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3032207384,0.01288793992
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,tinyMMLU,0.5852045679,N/A
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio,0.3244304792,0.01312660123
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_conversation,0.2969363708,0.0128110716
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2969363708,0.0128110716
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.3228593873,0.01310999677
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.326787117,0.01315119196
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_poem,0.3238770686,0.01314145057
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3181461115,0.01305916517
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.310290652,0.01297101156
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3220738413,0.0131016311
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3024351925,0.01287848832
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3087195601,0.01295285942
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,tinyMMLU,0.4962187528,N/A
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio,0.2710133543,0.0124626838
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_conversation,0.2717989002,0.01247400625
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2953652789,0.01279140308
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.309505106,0.01296195738
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2890809112,0.01271089817
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_poem,0.2789598109,0.01259478996
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2631578947,0.01234672751
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2560879811,0.01223803893
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2882953653,0.01270062729
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2804399057,0.01259533972
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2812254517,0.01260608122
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,tinyMMLU,0.4555748981,N/A
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio,0.2741555381,0.01250767937
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_conversation,0.2466614297,0.01208654486
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2498036135,0.01213789249
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2482325216,0.01211232599
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2623723488,0.01233485561
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_poem,0.2466509062,0.01210542011
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2882953653,0.01270062729
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2812254517,0.01260608122
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2608012569,0.01231095926
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2482325216,0.01211232599
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2560879811,0.01223803893
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,tinyMMLU,0.5813916379,N/A
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.3252160251,0.01313484019
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_conversation,0.3519245876,0.01339041454
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_english_filler,0.3872741555,0.01365836774
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.5467399843,0.01395791557
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3503534957,0.01337667652
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_poem,0.329393223,0.01319871563
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3401413983,0.01328347283
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.3150039277,0.01302442231
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3307148468,0.01319133914
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3024351925,0.01287848832
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3150039277,0.01302442231
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,tinyMMLU,0.372066521,N/A
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio,0.2529457973,0.01218838699
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_conversation,0.2450903378,0.01206054772
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2458758837,0.01207357338
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2474469756,0.01209946234
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2678711705,0.01241690008
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_poem,0.2466509062,0.01210542011
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2505891595,0.01215059568
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2521602514,0.01217584276
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2474469756,0.01209946234
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2435192459,0.01203433318
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2450903378,0.01206054772
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,tinyMMLU,0.5328873777,N/A
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio,0.2733699921,0.0124965039
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_conversation,0.2505891595,0.01215059568
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2655145326,0.01238203982
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.27572663,0.01252988426
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2835820896,0.01263802065
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_poem,0.2860520095,0.0126910093
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2875098193,0.01269030987
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2985074627,0.01283055872
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2914375491,0.01274143269
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2827965436,0.01262742157
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2663000786,0.01239370994
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,tinyMMLU,0.5009803624,N/A
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio,0.3000785546,0.01284986527
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_conversation,0.2466614297,0.01208654486
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2827965436,0.01262742157
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.276512176,0.01254091394
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.311076198,0.01298002205
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_poem,0.2781717888,0.01258385892
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3173605656,0.01305054389
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2969363708,0.0128110716
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3071484682,0.01293453177
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2898664572,0.01272112262
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2788688138,0.01257371342
Llama3-8B-Instruct,wmdp_bio,0.7086,
Llama3-8B-Instruct,wmdp_bio_rephrased_english_filler,0.7054,
Llama3-8B-Instruct,wmdp_bio_rephrased_hindi_filler,0.7235,
Llama3-8B-Instruct,wmdp_bio_rephrased_latin_filler,0.7203,
Llama3-8B-Instruct,wmdp_bio_rephrased_conversation,0.7117,
Llama3-8B-Instruct,wmdp_bio_rephrased_poem,0.6801,
Llama3-8B-Instruct,wmdp_bio_rephrased_replace_with_variables,0.663,
Llama3-8B-Instruct,wmdp_bio_rephrased_technical_terms_removed_1,0.6127,
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_farsi,0.6528,
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_german,0.6591,
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_korean,0.6277,
Llama3-8B-Instruct,tinyMMLU,0.5921,